MonthlyIncome,Age,OverTime,TotalWorkingYears,DailyRate,HourlyRate,MonthlyRate,EmployeeNumber,DistanceFromHome,YearsAtCompany,NumCompaniesWorked,PercentSalaryHike,YearsWithCurrManager,EnvironmentSatisfaction,JobRole,Attrition
4682,33,No,9,508,46,4317,446,10,7,3,14,1,Medium,Sales Executive,No
18300,47,No,21,1482,42,16375,447,5,3,4,11,1,Very High,Research Director,No
5257,43,No,9,559,82,6227,448,10,9,1,11,0,High,Laboratory Technician,No
6349,27,Yes,6,210,73,22107,449,1,5,0,13,4,High,Sales Executive,No
4869,54,No,20,928,31,16885,450,20,4,3,12,3,Very High,Research Scientist,No
9985,43,No,10,1001,43,9262,451,7,1,8,16,0,High,Healthcare Representative,No
3697,45,No,12,549,75,9278,452,8,10,9,14,8,Very High,Research Scientist,No
7457,40,Yes,6,1124,57,13273,453,1,4,2,22,2,Medium,Sales Executive,No
2119,29,Yes,7,318,77,4759,454,8,7,1,11,7,Medium,Laboratory Technician,Yes
3983,29,No,4,738,30,7621,455,9,3,0,17,2,Medium,Laboratory Technician,No
6118,30,No,10,570,30,5431,456,5,10,1,13,2,Very High,Sales Executive,No
6214,27,No,8,1130,56,3415,458,8,8,1,18,7,Medium,Sales Executive,No
6347,37,No,8,1192,61,23177,460,5,6,7,16,4,Very High,Manufacturing Director,No
11510,38,Yes,12,343,92,15682,461,15,11,0,14,9,High,Research Director,No
7143,31,Yes,11,1232,39,25713,462,7,11,1,14,10,High,Manufacturing Director,No
8268,29,Yes,7,144,39,11866,463,10,7,1,14,7,Very High,Sales Executive,No
8095,35,No,17,1296,62,18264,464,5,16,0,13,13,High,Manufacturing Director,No
2904,23,No,4,1309,83,16092,465,26,4,1,12,2,High,Research Scientist,No
6032,41,Yes,8,483,95,10110,466,6,5,6,15,2,Very High,Manufacturing Director,No
2976,47,No,5,1309,99,25751,467,4,0,3,19,0,Medium,Sales Representative,No
15992,42,No,16,810,44,15901,468,23,1,2,14,0,Low,Research Director,No
4649,29,No,4,746,61,16928,469,2,4,1,14,2,Very High,Sales Executive,No
2696,42,Yes,4,544,52,24017,470,2,3,0,11,0,High,Human Resources,No
2370,32,No,8,1062,75,3956,471,2,8,1,13,7,High,Laboratory Technician,No
12504,48,No,15,530,91,23978,473,29,0,3,21,0,Low,Manager,No
5974,37,Yes,13,1319,51,17001,474,6,7,4,13,7,High,Research Scientist,No
4736,30,Yes,4,641,85,6069,475,25,2,7,12,2,Very High,Sales Executive,No
5296,26,No,8,933,57,20156,476,1,8,1,17,7,High,Sales Executive,No
6781,42,No,14,1332,98,17078,477,2,1,3,23,0,Low,Healthcare Representative,No
2174,21,Yes,3,756,99,9150,478,1,3,1,11,2,Low,Sales Representative,Yes
6653,36,No,7,845,45,15276,479,1,1,4,15,0,Very High,Sales Executive,No
9699,36,No,16,541,48,7246,481,3,13,4,11,12,Low,Sales Executive,No
6755,57,No,15,593,88,2967,482,1,3,2,11,2,Very High,Healthcare Representative,No
2213,40,Yes,10,1171,46,22495,483,10,7,3,13,7,Very High,Laboratory Technician,No
2610,21,No,3,895,39,2851,484,9,3,1,24,2,Low,Sales Representative,No
2851,33,Yes,1,350,34,9150,485,5,1,1,13,0,Very High,Sales Representative,Yes
3452,37,No,17,921,98,17663,486,10,5,6,20,3,High,Laboratory Technician,No
5258,46,No,7,1144,30,16044,487,7,1,2,14,0,High,Manufacturing Director,No
9355,41,No,8,143,56,9558,488,4,8,1,18,7,Low,Sales Executive,Yes
10496,50,No,20,1046,100,2755,491,10,4,6,15,3,Very High,Healthcare Representative,No
6380,40,Yes,8,575,68,6110,492,22,6,2,12,0,High,Sales Executive,Yes
2657,31,Yes,3,408,42,7551,493,9,2,0,16,2,High,Research Scientist,No
2716,21,No,1,156,90,25422,494,12,1,1,15,0,High,Sales Representative,Yes
2201,29,No,6,1283,54,18168,495,23,3,9,16,2,Very High,Research Scientist,No
6540,35,No,10,755,97,19394,496,9,1,9,19,0,High,Healthcare Representative,No
3816,27,No,5,1469,82,17881,497,1,5,1,11,4,Very High,Laboratory Technician,No
5253,28,No,7,304,92,20750,498,9,7,1,16,7,Medium,Sales Executive,No
10965,49,No,26,1261,31,12066,499,7,5,8,24,0,Medium,Healthcare Representative,No
4936,51,No,18,1178,87,14862,500,14,7,4,11,7,High,Sales Executive,No
2543,36,No,6,329,96,11868,501,2,2,4,13,2,Very High,Research Scientist,No
5304,34,Yes,9,1362,67,4652,502,19,5,8,13,4,Low,Sales Executive,Yes
16659,55,Yes,30,1311,97,23258,505,2,5,2,13,2,High,Manager,No
4260,24,Yes,5,1371,77,5915,507,10,5,1,12,3,Very High,Sales Executive,No
2476,30,No,1,202,72,17434,508,2,1,1,18,0,High,Sales Representative,No
3102,26,No,7,575,73,6582,510,3,6,0,22,4,High,Research Scientist,Yes
2244,22,No,2,253,43,24440,511,11,2,1,13,2,Low,Research Scientist,No
7596,36,No,10,164,61,3809,513,2,10,1,13,0,Medium,Sales Executive,No
2285,30,Yes,3,464,40,3427,514,4,1,9,23,0,High,Research Scientist,Yes
3034,37,No,18,1107,95,26914,515,14,18,1,12,17,Very High,Laboratory Technician,No
5715,40,No,8,759,46,22553,516,2,5,7,12,3,Very High,Sales Executive,No
2576,42,No,8,201,95,20490,517,1,5,3,16,2,Medium,Laboratory Technician,No
4197,37,Yes,18,1305,49,21123,518,10,1,2,12,1,High,Manufacturing Director,No
14336,43,No,25,982,59,4345,520,12,25,1,11,9,Low,Research Director,No
3448,40,No,20,555,78,13436,521,2,1,6,22,0,Medium,Laboratory Technician,No
19406,54,No,24,821,86,8509,522,5,4,4,11,2,Low,Research Director,No
6538,34,No,6,1381,72,12740,523,4,3,9,15,2,High,Sales Executive,No
4306,31,No,13,480,31,4156,524,7,13,1,12,12,Medium,Manufacturing Director,No
2258,43,No,8,313,61,15238,525,21,3,7,20,2,Very High,Laboratory Technician,No
4522,43,Yes,8,1473,74,2227,526,8,5,4,14,2,High,Healthcare Representative,No
4487,25,Yes,5,891,99,12090,527,4,5,1,11,3,Medium,Sales Executive,No
4449,37,Yes,15,1063,72,23866,529,25,13,3,15,7,Medium,Research Scientist,No
2218,31,No,4,329,98,16193,530,1,4,1,12,2,Very High,Laboratory Technician,No
19197,39,Yes,21,1218,52,8213,531,1,21,1,14,6,Medium,Manager,No
13212,56,No,36,906,86,18256,532,6,7,9,11,7,High,Sales Executive,No
6577,30,No,6,1082,83,19558,533,12,5,0,11,4,Medium,Sales Executive,No
8392,41,No,10,645,49,19566,534,1,10,1,16,7,Medium,Sales Executive,No
4558,28,No,10,1300,79,13535,536,17,10,1,12,8,High,Laboratory Technician,No
4031,25,No,6,688,91,9396,538,3,2,5,13,2,Low,Laboratory Technician,Yes
7969,52,Yes,28,319,39,19609,543,3,5,2,14,4,Very High,Manufacturing Director,No
2654,45,No,8,192,69,9655,544,10,2,3,21,2,Low,Research Scientist,No
16555,52,No,31,1490,30,10310,546,4,5,2,13,4,Very High,Manager,No
4556,42,No,19,532,92,12932,547,29,5,2,11,2,Low,Research Scientist,No
6091,30,No,11,317,43,24793,548,2,5,2,20,2,High,Manufacturing Director,No
19566,60,No,33,422,41,3854,549,7,29,5,11,10,Low,Manager,No
4810,46,No,19,1485,87,26314,550,18,10,2,14,8,High,Manufacturing Director,No
4523,42,No,7,1368,88,4386,551,28,6,0,11,4,Very High,Healthcare Representative,No
3202,24,Yes,6,1448,62,21972,554,1,5,1,16,4,Low,Sales Representative,Yes
2351,34,No,3,296,33,12253,555,6,2,0,16,0,Very High,Sales Representative,Yes
1702,38,Yes,1,1490,42,12106,556,2,1,1,23,0,Very High,Laboratory Technician,No
18041,40,No,21,1398,79,13022,558,2,20,0,14,12,High,Manager,No
2886,26,No,3,1349,90,3032,560,23,3,1,22,2,Low,Research Scientist,No
2097,30,No,9,1400,53,16734,562,3,5,4,15,4,High,Laboratory Technician,No
11935,29,No,10,986,93,21526,564,3,10,1,18,7,Medium,Research Director,No
2546,29,No,6,408,71,18300,565,25,2,5,16,1,High,Research Scientist,Yes
2564,19,No,1,489,52,18437,566,2,1,1,12,0,Low,Human Resources,Yes
8412,30,No,10,1398,69,2890,567,22,9,0,11,8,High,Sales Executive,No
14118,57,No,32,210,56,22102,568,29,1,3,12,0,Low,Manager,No
17046,50,No,28,1099,88,9314,569,29,27,0,15,7,Medium,Manager,No
2564,30,No,12,1116,49,7181,571,2,11,0,14,7,High,Laboratory Technician,No
10266,60,No,22,1499,80,2845,573,28,18,4,19,11,High,Sales Executive,No
5070,47,No,20,983,65,7389,574,2,5,5,13,4,Low,Manufacturing Director,No
17861,46,No,26,1009,51,2288,575,2,3,6,13,1,Low,Research Director,No
4230,35,No,6,144,46,19225,577,22,5,0,15,3,Very High,Laboratory Technician,No
3780,54,No,19,548,42,23428,578,8,1,7,11,0,High,Laboratory Technician,No
2768,34,No,14,1303,62,8416,579,2,7,3,12,7,Very High,Research Scientist,No
9071,46,Yes,15,1125,94,11563,580,10,3,2,19,2,High,Sales Executive,No
10648,31,No,13,1274,33,14394,581,9,13,1,25,8,High,Manufacturing Director,No
13610,33,Yes,15,1277,56,24619,582,15,7,7,12,7,Medium,Manager,Yes
3408,33,No,8,587,38,6705,584,10,4,7,13,3,Low,Laboratory Technician,Yes
2983,30,No,4,413,57,18398,585,7,3,0,14,2,Very High,Sales Representative,No
7632,35,Yes,10,1276,72,14295,586,16,8,4,12,0,Very High,Healthcare Representative,No
9824,31,No,12,534,66,22908,587,20,1,3,12,0,Low,Healthcare Representative,Yes
9950,34,Yes,11,988,43,11533,590,23,3,9,15,2,Medium,Human Resources,Yes
2093,42,No,8,1474,97,9260,591,5,2,4,17,0,Medium,Laboratory Technician,No
9980,36,No,10,635,32,15318,592,10,10,1,14,7,Medium,Sales Executive,No
3894,22,No,4,1368,99,9129,593,4,2,5,16,2,High,Laboratory Technician,Yes
4051,48,No,14,163,37,19658,595,2,9,2,14,7,Medium,Sales Executive,No
16835,55,No,37,1117,83,9873,597,18,10,3,23,7,Low,Manager,No
6230,41,No,16,267,56,13430,599,10,14,7,14,10,Very High,Sales Executive,No
4717,35,No,15,619,85,18659,600,1,11,9,11,9,Medium,Sales Executive,No
13237,40,No,22,302,75,20364,601,6,20,7,15,13,Medium,Manufacturing Director,No
3755,39,No,8,443,48,17872,602,8,8,1,11,7,High,Laboratory Technician,No
6582,31,Yes,10,828,77,8346,604,2,6,4,13,5,Medium,Sales Executive,No
7406,42,Yes,10,319,56,6950,605,24,10,1,21,8,Very High,Manufacturing Director,No
4805,45,No,9,561,61,16177,606,2,8,0,19,7,Very High,Sales Executive,No
2741,26,Yes,8,426,58,22808,608,17,7,0,11,0,Medium,Human Resources,Yes
4262,29,No,8,232,34,22645,611,19,3,4,12,2,Very High,Manufacturing Director,No
16184,33,No,10,922,95,22578,612,1,6,4,19,5,Low,Research Director,No
11557,31,No,10,688,44,25291,613,7,5,9,21,1,High,Manager,No
1878,18,Yes,0,1306,69,8059,614,5,0,1,14,0,Medium,Sales Representative,Yes
10932,40,No,20,1094,58,11373,615,28,1,3,15,1,High,Sales Executive,No
6811,41,Yes,10,509,62,2112,616,2,8,2,17,7,Low,Healthcare Representative,No
4306,26,No,8,775,45,4267,618,29,0,5,12,0,Low,Sales Executive,No
4859,35,No,5,195,80,6698,620,1,5,1,16,3,Low,Sales Executive,No
5337,34,No,10,258,74,19921,621,21,10,1,12,7,Very High,Sales Executive,No
2340,26,Yes,1,471,66,23213,622,24,1,1,18,0,High,Laboratory Technician,Yes
7491,37,No,12,799,59,23848,623,1,6,4,17,2,Medium,Manufacturing Director,No
10527,46,No,28,1034,86,8984,624,18,2,5,11,2,Low,Healthcare Representative,No
16595,41,No,22,1276,91,5626,625,2,18,7,16,8,Medium,Manager,No
8834,37,No,9,142,69,24666,626,9,9,1,13,7,Low,Sales Executive,No
5577,52,Yes,18,956,78,22087,630,6,10,3,12,9,Very High,Research Scientist,No
4707,32,No,6,1474,60,23914,631,11,4,8,12,2,Very High,Sales Executive,Yes
2400,24,No,3,535,38,5530,632,24,2,0,13,1,Very High,Sales Representative,No
9824,38,No,18,1495,76,22174,634,10,1,3,19,0,High,Healthcare Representative,No
6447,37,No,8,446,65,15701,635,1,6,6,12,3,Medium,Manufacturing Director,No
19502,49,Yes,31,1245,58,2125,638,18,31,1,17,9,Very High,Research Director,No
2725,24,Yes,6,691,89,21630,639,23,6,1,11,4,Medium,Research Scientist,No
6272,26,No,6,703,66,7428,641,28,5,1,20,4,Low,Sales Executive,No
2127,24,No,1,823,94,9100,643,17,1,1,21,0,Very High,Laboratory Technician,No
18200,50,No,32,1246,99,7999,644,3,32,1,11,7,Low,Manager,No
2096,25,No,7,622,40,26376,645,13,7,1,11,6,Medium,Sales Representative,No
2886,24,Yes,6,1287,55,14168,647,7,6,1,16,2,Low,Laboratory Technician,Yes
2033,30,No,1,448,74,14470,648,12,1,1,18,0,Medium,Sales Representative,Yes
3622,34,Yes,6,254,83,22794,649,1,6,1,13,3,Medium,Research Scientist,No
4233,31,No,9,1365,46,11512,650,13,3,2,17,2,Medium,Sales Executive,Yes
3681,35,No,9,538,54,14004,652,25,3,4,14,2,Low,Laboratory Technician,No
5460,31,No,13,525,66,6219,653,6,7,4,22,7,Low,Sales Executive,No
2187,27,No,6,798,66,5013,655,6,5,0,12,3,Low,Research Scientist,No
9602,37,Yes,17,558,75,3010,656,2,3,4,11,0,Very High,Sales Executive,No
2836,20,No,1,959,83,11757,657,1,1,1,13,0,Very High,Research Scientist,No
4089,42,No,10,622,81,5718,659,2,10,1,13,2,High,Healthcare Representative,No
16627,43,Yes,21,782,50,2671,661,6,1,4,14,0,Medium,Research Director,No
2619,38,No,8,362,43,14561,662,1,0,3,17,0,High,Research Scientist,No
5679,43,Yes,10,1001,72,19627,663,9,8,3,13,7,Very High,Laboratory Technician,No
15402,48,No,21,1236,40,17997,664,1,3,7,11,2,Very High,Manager,No
5985,44,No,10,1112,50,26894,665,1,2,4,11,2,Low,Human Resources,No
2579,34,Yes,8,204,31,2912,666,14,8,1,18,6,High,Sales Representative,No
3041,27,No,5,1420,85,16346,667,2,4,0,11,2,High,Sales Representative,Yes
3447,21,No,3,1343,49,24444,669,22,3,1,11,2,High,Sales Representative,No
19513,44,Yes,26,1315,35,9358,671,3,2,4,12,1,Very High,Manager,No
2773,22,No,3,604,69,12145,675,6,2,0,20,2,Low,Research Scientist,No
7104,33,No,6,1216,39,20431,677,8,5,0,12,2,High,Sales Executive,No
6322,32,Yes,6,646,92,18089,679,9,6,1,12,5,Low,Research Scientist,No
2083,30,No,1,160,71,22653,680,3,1,1,20,0,High,Research Scientist,No
8381,53,No,18,238,34,7507,682,1,14,7,20,10,Very High,Sales Executive,No
2691,34,No,10,1397,42,7660,683,1,10,1,12,8,Medium,Research Scientist,No
4286,45,No,5,306,100,5630,684,26,1,2,14,0,Low,Sales Executive,Yes
2659,26,Yes,3,991,71,17759,686,6,3,1,13,2,High,Laboratory Technician,No
9434,37,No,10,482,36,9606,689,3,10,1,15,8,High,Manufacturing Director,No
5561,29,No,6,1176,62,3487,690,3,6,1,14,2,Medium,Sales Executive,No
6646,35,No,17,1017,82,19368,691,6,17,1,13,8,Medium,Research Scientist,No
7725,33,No,15,1296,30,5335,692,6,13,3,23,7,High,Healthcare Representative,No
10725,54,No,16,397,88,6729,698,19,9,2,15,1,High,Human Resources,No
8847,36,Yes,13,913,48,13934,699,9,3,2,11,2,Medium,Manufacturing Director,No
2045,27,No,5,1115,54,15174,700,3,4,0,13,1,Low,Research Scientist,No
1009,20,Yes,1,1362,32,26999,701,10,1,1,11,1,Very High,Research Scientist,Yes
3348,33,Yes,10,1076,70,3164,702,3,10,1,11,7,Low,Research Scientist,Yes
1281,35,No,1,727,41,16900,704,3,1,1,18,0,High,Laboratory Technician,No
2819,23,No,5,885,58,8544,705,4,3,2,16,2,Low,Research Scientist,No
4851,25,No,4,810,57,15678,707,8,3,0,22,2,Very High,Sales Executive,No
4028,38,No,8,243,46,7791,709,7,7,0,20,5,Very High,Sales Executive,No
2720,29,No,10,806,76,18959,710,1,10,1,18,8,Medium,Research Scientist,No
8120,48,No,12,817,56,18597,712,2,2,3,12,2,Medium,Sales Executive,No
4647,27,Yes,6,1410,71,16673,714,3,6,1,20,4,Very High,Sales Executive,No
4680,37,No,4,1225,80,15232,715,10,1,3,17,0,Very High,Research Scientist,No
3221,50,Yes,20,1207,74,3297,716,28,20,1,11,8,Very High,Laboratory Technician,No
8621,34,No,9,1442,46,17654,717,9,8,1,14,7,Very High,Healthcare Representative,No
4577,24,No,4,693,65,24785,720,3,2,9,14,0,Low,Sales Executive,Yes
4553,39,No,20,408,80,20978,721,2,20,1,11,10,Very High,Healthcare Representative,No
5396,32,No,10,929,55,21703,722,10,10,1,12,8,Very High,Sales Executive,No
6796,50,Yes,18,562,50,23452,723,8,4,3,14,3,Medium,Sales Executive,Yes
7625,38,No,10,827,33,19383,724,1,9,0,13,8,Medium,Healthcare Representative,No
7412,27,No,9,608,68,6009,725,1,9,1,11,7,High,Manufacturing Director,No
11159,32,No,10,1018,39,19373,727,3,7,3,15,7,High,Research Director,No
4960,47,No,20,703,42,11825,728,14,7,2,12,7,Very High,Sales Executive,No
10475,40,Yes,20,580,48,23772,729,5,18,5,21,12,Very High,Sales Executive,No
14814,53,No,32,970,59,13514,730,7,5,3,19,3,High,Research Director,No
19141,41,No,23,427,73,8861,731,10,21,3,15,6,Medium,Manager,No
5405,60,No,10,1179,84,11924,732,16,2,8,14,2,Low,Sales Executive,No
8793,27,No,9,294,32,4809,733,10,9,1,21,7,Very High,Manufacturing Director,No
19189,41,No,22,314,59,19562,734,1,22,1,12,10,Very High,Manager,No
3875,50,No,4,316,54,9983,738,8,2,7,15,2,Very High,Sales Representative,No
2216,28,Yes,10,654,67,3872,741,1,7,7,13,7,Low,Research Scientist,Yes
11713,36,No,10,427,63,20335,742,8,8,9,14,5,Low,Research Director,No
7861,38,Yes,10,168,81,15397,743,1,1,4,14,0,High,Manufacturing Director,No
3708,44,No,9,381,49,2104,744,24,5,2,14,4,Low,Laboratory Technician,No
13770,47,Yes,28,217,49,10225,746,3,22,9,12,13,Very High,Sales Executive,No
5304,30,No,10,501,99,25275,747,27,8,7,23,7,High,Sales Executive,No
2642,29,No,1,1396,99,2755,749,10,1,1,11,0,High,Sales Representative,No
2759,42,Yes,7,933,57,20366,752,19,2,6,12,2,High,Research Scientist,Yes
6804,43,No,7,775,47,23683,754,15,2,3,18,2,Very High,Sales Executive,No
6142,34,No,10,970,96,7360,757,8,5,3,11,3,Medium,Healthcare Representative,No
2500,23,No,5,650,37,4344,758,9,4,1,14,2,Medium,Laboratory Technician,No
6389,39,No,12,141,44,18767,760,3,8,9,15,6,High,Human Resources,No
11103,56,No,30,832,81,20420,762,9,10,7,11,1,High,Healthcare Representative,No
2342,40,Yes,5,804,86,22929,763,2,4,0,20,3,Very High,Research Scientist,No
6811,27,No,9,975,55,23398,764,7,7,8,19,7,Very High,Healthcare Representative,No
2297,29,No,2,1090,83,17967,766,10,2,1,14,2,Very High,Sales Representative,No
2450,53,No,19,346,86,10919,769,6,2,2,17,2,Very High,Laboratory Technician,No
5093,35,No,16,1225,61,4761,771,2,1,2,11,0,Very High,Healthcare Representative,No
5309,32,No,10,430,80,21146,772,24,10,1,15,7,Low,Laboratory Technician,No
3057,38,Yes,6,268,92,20471,773,2,1,6,13,1,Very High,Research Scientist,No
5121,34,No,7,167,32,4187,775,8,0,3,14,0,Medium,Manufacturing Director,No
16856,52,No,34,621,31,10084,776,3,34,1,11,16,High,Manager,No
2686,33,Yes,10,527,63,5207,780,1,10,1,13,8,Very High,Research Scientist,Yes
6180,25,No,6,883,32,22807,781,26,6,1,23,4,High,Sales Executive,No
6632,45,No,9,954,46,12388,783,2,8,0,13,1,Medium,Sales Representative,No
3505,23,No,2,310,79,19630,784,10,2,1,18,2,Low,Research Scientist,No
6397,47,Yes,8,719,77,10339,785,27,5,4,12,3,Medium,Sales Executive,Yes
6274,34,No,6,304,60,18686,786,2,6,1,22,4,Very High,Sales Executive,No
19859,55,Yes,24,725,78,21199,787,2,5,5,13,4,Very High,Manager,Yes
7587,36,No,10,1434,76,14229,789,8,10,1,15,9,Low,Sales Executive,No
4258,52,No,5,715,41,26589,791,19,4,0,18,2,Very High,Research Scientist,No
4364,26,No,5,575,71,5288,792,1,2,3,14,0,Low,Laboratory Technician,No
4335,29,No,11,657,66,25549,793,27,8,4,12,1,Medium,Healthcare Representative,No
5326,26,No,6,1146,38,3064,796,8,4,6,17,2,Very High,Sales Executive,Yes
3280,34,No,10,182,72,13551,797,1,4,2,16,3,Medium,Research Scientist,No
5485,54,Yes,9,376,95,22670,799,19,5,9,11,4,Very High,Manufacturing Director,No
4342,27,No,5,829,84,24008,800,8,4,0,19,1,High,Sales Executive,No
2782,37,Yes,6,571,82,19905,802,10,5,0,13,3,Very High,Research Scientist,No
5980,38,Yes,17,240,75,26085,803,2,15,6,12,12,Low,Manufacturing Director,No
4381,34,No,6,121,86,7530,804,2,6,1,11,3,High,Research Scientist,No
2572,35,No,3,384,72,20317,805,8,3,1,16,2,Low,Sales Representative,No
3833,30,No,7,921,38,24375,806,1,2,3,21,2,Very High,Laboratory Technician,No
4244,40,No,8,791,38,9931,807,2,8,1,24,7,High,Healthcare Representative,No
6500,34,No,6,1111,93,13305,808,8,3,5,17,2,High,Sales Executive,No
18430,42,No,24,570,66,16225,809,8,24,1,13,9,Medium,Manager,No
1601,23,Yes,1,1243,63,3445,811,6,0,1,21,0,High,Laboratory Technician,Yes
2694,24,No,1,1092,60,26551,812,9,1,1,11,0,High,Laboratory Technician,No
3149,52,No,9,1325,82,21821,813,11,5,8,20,4,Very High,Laboratory Technician,No
17639,50,No,30,691,64,6881,815,2,4,5,16,3,High,Research Director,No
2319,29,Yes,1,805,36,6689,816,1,1,1,11,0,Medium,Laboratory Technician,Yes
11691,33,No,14,213,49,25995,817,7,13,0,11,7,High,Research Director,No
5324,33,No,6,118,69,26507,819,16,3,5,15,2,Low,Sales Executive,Yes
16752,47,Yes,26,202,33,12982,820,2,26,1,11,0,High,Manager,No
5228,36,No,10,676,35,23361,823,1,9,0,15,5,High,Manufacturing Director,No
2700,29,No,10,1252,81,23779,824,23,10,1,24,7,High,Research Scientist,No
19246,58,Yes,40,286,31,25761,825,2,31,7,12,8,Very High,Research Director,Yes
2506,35,No,7,1258,40,13301,826,1,2,3,13,2,Very High,Research Scientist,No
6062,42,Yes,8,932,43,4051,827,1,4,9,13,2,Very High,Manufacturing Director,No
4382,28,No,5,890,46,16374,828,2,2,6,17,1,High,Research Scientist,Yes
2143,36,No,8,1041,36,25527,829,13,5,4,13,4,High,Human Resources,No
6162,32,No,14,859,98,19124,830,4,14,1,12,8,High,Manufacturing Director,No
5094,40,No,10,720,51,11983,832,16,1,6,14,0,Low,Laboratory Technician,No
6877,30,Yes,12,946,52,20234,833,2,0,5,24,0,High,Manufacturing Director,No
2274,45,No,1,252,95,6153,834,2,1,1,14,0,Medium,Research Scientist,No
4434,42,No,10,933,98,11806,836,29,9,1,13,8,Medium,Manufacturing Director,No
6288,38,No,13,471,45,4284,837,12,4,2,15,2,Low,Healthcare Representative,No
2553,34,No,6,702,100,8306,838,16,5,1,16,3,High,Research Scientist,No
7654,49,No,9,1184,43,5860,840,11,9,1,18,7,High,Sales Executive,Yes
5160,55,No,12,436,37,21519,842,2,9,4,16,3,High,Sales Executive,Yes
17159,43,No,22,589,94,5200,843,14,4,6,24,0,Medium,Research Director,No
12808,27,Yes,9,269,42,8842,844,5,9,1,16,8,High,Research Director,No
10221,35,No,17,950,59,18869,845,7,8,3,21,6,High,Manufacturing Director,No
4779,28,Yes,8,760,81,3698,846,2,8,1,20,5,Medium,Sales Executive,No
3737,34,No,4,829,88,2243,847,3,3,0,19,2,High,Human Resources,No
2366,26,Yes,8,887,88,20898,848,5,8,1,14,7,High,Research Scientist,Yes
1706,27,No,0,443,50,16571,850,3,0,1,11,0,Very High,Research Scientist,No
16307,51,No,29,1318,66,5594,851,26,20,2,14,17,Low,Manager,No
5933,44,No,10,625,50,5197,852,4,5,9,12,3,Very High,Healthcare Representative,No
3424,25,No,6,180,65,21632,854,2,4,7,13,1,Low,Research Scientist,No
4037,33,No,9,586,48,21816,855,1,9,1,22,8,Low,Sales Executive,No
2559,35,No,6,1343,53,17852,856,27,6,1,11,1,High,Research Scientist,No
6201,36,Yes,18,928,56,2823,857,1,18,1,14,11,Medium,Sales Executive,No
4403,32,No,8,117,73,9250,859,13,5,2,11,3,Medium,Sales Executive,No
3761,30,No,10,1012,75,2373,861,5,5,9,12,3,Medium,Research Scientist,No
10934,53,Yes,35,661,78,20715,862,7,5,7,18,4,Low,Sales Executive,No
10761,45,Yes,18,930,74,19239,864,9,5,4,12,2,Very High,Sales Executive,No
5175,32,No,9,638,91,22162,865,8,5,5,12,3,High,Research Scientist,No
13826,52,No,31,890,81,19028,867,25,9,3,22,0,High,Manufacturing Director,No
6334,37,No,9,342,66,24558,868,16,1,4,19,0,Very High,Sales Executive,No
4936,28,No,6,1169,63,23965,869,8,5,1,13,4,Medium,Human Resources,No
4775,22,No,4,1230,33,19146,872,1,2,6,22,2,Very High,Manufacturing Director,No
2818,44,Yes,10,986,62,5044,874,8,3,2,24,2,Low,Laboratory Technician,No
2515,42,Yes,8,1271,35,9068,875,2,2,5,14,2,Medium,Research Scientist,No
2342,36,No,6,1278,77,8635,878,8,5,0,21,3,Low,Human Resources,No
4194,25,Yes,5,141,98,14363,879,3,5,1,18,3,High,Sales Executive,No
10685,35,Yes,17,607,66,23457,880,9,17,1,20,15,Very High,Manufacturing Director,No
2022,35,Yes,10,130,96,16612,881,25,10,1,19,8,Very High,Research Scientist,Yes
2314,32,No,4,300,61,9148,882,1,3,0,12,2,Very High,Laboratory Technician,No
4256,25,No,5,583,87,18154,885,4,5,1,12,3,High,Sales Executive,No
3580,49,No,7,1418,36,10554,887,1,4,2,16,2,High,Research Scientist,No
3162,24,No,6,1269,46,10778,888,4,5,0,17,4,Low,Laboratory Technician,No
6524,32,No,10,379,48,8891,889,5,10,1,14,3,Medium,Sales Executive,No
2899,38,No,3,395,98,12102,893,9,2,0,19,2,Medium,Sales Representative,No
5231,42,Yes,17,1265,95,23726,894,3,5,2,13,3,High,Laboratory Technician,No
2356,31,Yes,8,1222,48,14871,895,11,6,3,19,2,Very High,Research Scientist,No
2800,29,Yes,5,341,48,23522,896,1,3,6,19,2,Medium,Sales Representative,Yes
11836,53,No,28,868,73,22789,897,8,2,5,14,2,Low,Sales Executive,No
10903,35,No,16,672,78,9129,899,25,13,3,16,8,Very High,Manufacturing Director,No
2973,37,No,10,1231,54,21222,900,21,5,5,15,0,High,Sales Representative,No
14275,53,No,33,102,72,20206,901,23,12,6,18,8,Very High,Research Director,No
5562,43,No,12,422,33,21782,902,1,5,4,13,2,Very High,Healthcare Representative,No
4537,47,Yes,8,249,35,17783,903,2,7,0,22,7,High,Sales Executive,No
7642,37,Yes,10,1252,32,4814,904,19,10,1,13,9,Low,Sales Executive,No
17924,50,No,31,881,98,4544,905,2,31,1,11,7,Low,Manager,No
5204,39,No,13,1383,42,7790,909,2,5,8,11,4,Very High,Human Resources,No
2277,33,Yes,7,1075,57,22650,910,3,4,3,11,3,Very High,Human Resources,No
2795,32,Yes,1,374,87,18016,911,25,1,1,24,1,Low,Laboratory Technician,Yes
2532,29,No,8,1086,62,6054,912,7,4,6,14,3,Low,Laboratory Technician,No
2559,44,Yes,8,661,61,7508,913,9,8,1,13,1,Medium,Research Scientist,No
4908,28,No,4,821,98,24252,916,5,4,1,14,2,Low,Sales Executive,No
